id,student_name,URN,Maths,SESD,AIML,FSD,DVA,contest_scores,topic_wise_accuracy,time_spent_per_topic
1,Arjun Mehta,2024-A-10042006B,78,82,88,75,80,403,"{Maths:0.78,SESD:0.82,AIML:0.88,FSD:0.75,DVA:0.80}","{Maths:12.5,SESD:10.2,AIML:14.8,FSD:9.6,DVA:8.4}"
2,Priya Sharma,2024-B-10042006B,85,79,91,88,86,429,"{Maths:0.85,SESD:0.79,AIML:0.91,FSD:0.88,DVA:0.86}","{Maths:13.1,SESD:9.8,AIML:15.4,FSD:11.2,DVA:10.0}"
3,Rohan Verma,2024-C-10042006B,68,74,81,70,72,365,"{Maths:0.68,SESD:0.74,AIML:0.81,FSD:0.70,DVA:0.72}","{Maths:10.4,SESD:8.9,AIML:13.0,FSD:9.1,DVA:7.6}"
4,Neha Singh,2024-A-10042006B,92,88,95,90,91,456,"{Maths:0.92,SESD:0.88,AIML:0.95,FSD:0.90,DVA:0.91}","{Maths:14.6,SESD:12.3,AIML:16.2,FSD:12.0,DVA:11.5}"
5,Kunal Patel,2024-B-10042006B,74,69,77,73,70,363,"{Maths:0.74,SESD:0.69,AIML:0.77,FSD:0.73,DVA:0.70}","{Maths:11.0,SESD:9.1,AIML:12.6,FSD:10.0,DVA:8.9}"
6,Aditya Verma,2024-B-85802006B,77,-14,61,50,75,288,"{Maths:0.82,SESD:0.85,AIML:0.69,FSD:0.84,DVA:0.9}","{Maths:18.8,SESD:6.7,AIML:19.8,FSD:18.4,DVA:7.4}"
7,Vihaan Nair,2024-C-24342006B,95,96,68,43,72,418,,"{Maths:10.0,SESD:13.5,AIML:5.9,FSD:12.2,DVA:9.2}"
8,Ishaan Mishra,2024-A-36242006B,80,40,58,49,56,322,"{Maths:0.59,SESD:0.79,AIML:0.62,FSD:0.51,DVA:0.91}","{Maths:6.8,SESD:6.4,AIML:18.6,FSD:10.1,DVA:12.4}"
9,Aditya Kapoor,2024A10042006B,49,62,75,86,43,352,"{Maths:0.7,SESD:0.73,AIML:0.72,FSD:0.61,DVA:0.82}","{Maths:10.3,SESD:9.0,AIML:7.6,FSD:13.0,DVA:14.8}"
10,Aditya Mishra,2024-C-21032006B,63,91,58,45,83,366,"{Maths:0.89,SESD:0.75,AIML:0.51,FSD:0.98,DVA:0.68}","{Maths:13.9,SESD:12.6,AIML:18.5,FSD:9.3,DVA:9.8}"
11,Arjun Mishra,2024-A-49032006B,95,95,90,79,51,450,,"{Maths:12.6,SESD:16.7,AIML:16.5,FSD:13.3,DVA:10.8}"
12,Diya Verma,2024A10042006B,55,49,97,47,60,335,"{Maths:0.99,SESD:0.68,AIML:0.79,FSD:0.99,DVA:0.57}","{Maths:9.5,SESD:7.7,AIML:7.5,FSD:19.8,DVA:10.7}"
13,Aarav Gupta,2024-C-70212006B,99,58,73,93,80,406,"{Maths:0.91,SESD:0.56,AIML:0.81,FSD:0.88,DVA:0.59}","{Maths:10.2,SESD:7.6,AIML:13.9,FSD:13.6,DVA:14.5}"
14,Pari Mishra,2024-A-84552006B,76,96,,95,99,401,"{Maths:0.72,SESD:0.62,AIML:0.72,FSD:0.78,DVA:0.69}","{Maths:5.7,SESD:11.8,AIML:15.2,FSD:13.4,DVA:5.8}"
15,Diya Mishra,2024-B-99272006B,53,59,58,59,-2,242,,"{Maths:17.6,SESD:14.0,AIML:5.1,FSD:11.7,DVA:7.4}"
16,Aarav Kapoor,2024-C-24452006B,54,75,47,78,76,346,"{Maths:0.7,SESD:0.82,AIML:0.59,FSD:0.93,DVA:0.89}","{Maths:17.8,SESD:7.0,AIML:6.3,FSD:19.8,DVA:12.9}"
17,Reyansh Patel,2024-C-62492006B,60,83,93,64,44,352,"{Maths:0.61,SESD:0.96,AIML:0.73,FSD:0.56,DVA:0.6}","{Maths:18.1,SESD:5.5,AIML:13.8,FSD:13.3,DVA:11.6}"
18,Krishna Verma,2024-B-73732006B,93,94,70,87,54,444,"{Maths:0.67,SESD:0.86,AIML:0.72,FSD:0.53,DVA:0.75}","{Maths:7.8,SESD:16.5,AIML:13.1,FSD:10.1,DVA:7.3}"
19,Anvi Kapoor,2024-C-63362006B,95,96,77,76,72,444,"{Maths:0.95,SESD:0.93,AIML:0.62,FSD:0.64,DVA:0.67}","{Maths:19.2,SESD:13.3,AIML:7.7,FSD:9.9,DVA:18.0}"
